Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,57.80627417564392,102,25.506492137908936,23,23
690,942.1694047451019,648,175.2814221382141,180,164
4903,3648.739380121231,1907,614.9535591602325,281,252
7480,3748.106371164322,1410,446.1381182670593,228,176
5205,3298.58469080925,647,165.16172528266907,150,86
2572,2888.1514942646027,276,71.53570985794067,96,25
748,778.4121861457825,86,21.87172293663025,79,8
238,231.56955909729004,25,6.3470189571380615,76,5
120,415.07189989089966,17,5.16608190536499,72,0
72,4
