;index;GENERATION;EQUATION;SMILES;RULE;RPAIRS;CONSERVEDRATIO
0;0;1;RWJIGRREOWRQOA<=>NVPVODLUBNZZGS;COC(=O)C(CC1=CNC2=C1C=CC=C2)N=CC1=CC=C2OCOC2=C1>>COC1Oc2[nH]c3ccccc3c2CC1N=Cc1ccc2c(c1)OCO2;hyp_tadalafil_cyc;pairs;ratio
1;1;1;RWJIGRREOWRQOA<=>LIPVUDSNGRJSQE;COC(=O)C(CC1=CNC2=C1C=CC=C2)N=CC1=CC=C2OCOC2=C1>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1;hyp_tadalafil_cyc;pairs;ratio
2;2;1;RWJIGRREOWRQOA<=>PESCYSQYKSFAAR;COC(=O)C(CC1=CNC2=C1C=CC=C2)N=CC1=CC=C2OCOC2=C1>>COC(=O)C(CC12CNC3=C1C=CC2=C3)N=Cc1ccc2c(c1)OCO2;hyp_tadalafil_cyc;pairs;ratio
3;3;1;RWJIGRREOWRQOA<=>YVAQSOUNJNCBIG;COC(=O)C(CC1=CNC2=C1C=CC=C2)N=CC1=CC=C2OCOC2=C1>>COC(=O)C(CC12CNc3cccc1c32)N=Cc1ccc2c(c1)OCO2;hyp_tadalafil_cyc;pairs;ratio
