;index;GENERATION;EQUATION;SMILES;RULE;RPAIRS;CONSERVEDRATIO
10;339;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+JUKHNCNDFOAFLT<=>BAWFJGJZGIEFAR+MKHZRFUFNDXYHX+XLYOFNOQVPJJNP;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C=CCl.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O;1.1.1D1(rev);pairs;ratio
11;390;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>AOAITRNPWQCENG+BOPGDPNILDQYTO+NO_INCHIKEY;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(C2C=CC3=C(OCO3)C2=O)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
12;391;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+SXIAFWPTFBAEPU;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(C2=CC3=C(CC2=O)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
13;392;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+OTDXZWGQSVNUOA;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(C2=CC3=C(OCO3)C(=O)C2)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
14;393;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NAWINKADXFEQLB+NO_INCHIKEY;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1CC2=C(NC3C(=O)C=CC=C23)C(c2ccc3c(c2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
15;394;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+IENIQYNRRLOGBB+NO_INCHIKEY;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3c2=CC(=O)CC=3)C(c2ccc3c(c2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
16;395;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+WWMSLDJLUIRNIL;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3c2=CCC(=O)C=3)C(c2ccc3c(c2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
17;396;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+PUXYBMNMTLMKCF;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1CC2=C(NC3=CC=CC(=O)C32)C(c2ccc3c(c2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
18;397;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+ZANSAJJGPATEAQ;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(C2C=C3OCOC3=CC2=O)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
19;398;1;BAWFJGJZGIEFAR+JUKHNCNDFOAFLT+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+IBKPRGAGOGAVCC+NO_INCHIKEY;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC3=C(C=C2)OCO3)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(C2=CC=C3OCOC3C2=O)N1C(=O)CCl.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
