reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R09535/3.5.1A4/3.4.17.23;	3/3.5.1A1;	0.262425	1	0.8	0.722222	0.633333	0.520833	0.329268	0.141732	0.0777778
R09535/3.5.1A1/3.4.17.23;	3/3.5.1A1;	0.262425	1	0.8	0.722222	0.633333	0.520833	0.329268	0.141732	0.0777778
R00682/3.5.1A1/3.5.1.57;	3/3.5.1A1;	0.256927	1	0.6	0.625	0.4	0.2	0.212121	0.206186	0.192593
R10688/3.5.1A4/3.4.17.21;	3/3.5.1A1;	0.248936	1	0.8	0.722222	0.566667	0.413043	0.271605	0.145299	0.08125
R10688/3.5.1A1/3.4.17.21;	3/3.5.1A1;	0.248936	1	0.8	0.722222	0.566667	0.413043	0.271605	0.145299	0.08125
R04611/3.5.1A1/3.4.17.8;	3/3.5.1A1;	0.235294	1	0.8	0.722222	0.535714	0.302326	0.242857	0.147059	0.0753425
R08850/3.5.1A1/3.4.17.8;	3/3.5.1A1;	0.235294	1	0.8	0.722222	0.535714	0.302326	0.242857	0.147059	0.0753425
R04611/3.5.1A4/3.4.17.8;	3/3.5.1A1;	0.235294	1	0.8	0.722222	0.535714	0.302326	0.242857	0.147059	0.0753425
R08850/3.5.1A4/3.4.17.8;	3/3.5.1A1;	0.235294	1	0.8	0.722222	0.535714	0.302326	0.242857	0.147059	0.0753425
R00682/3.5.1A1/3.5.1.57;	3/3.5.1A1;	0.232099	1	0.6	0.625	0.4	0.2	0.212121	0.181818	0.141844
R04113/3.5.1A4/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04113/3.5.1A1/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04113/3.5.1A4/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04113/3.5.1A1/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04113/3.5.1A4/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04113/3.5.1A1/3.5.1.72;	3/3.5.1A1;	0.231388	1	0.8	0.722222	0.5	0.375	0.238095	0.131783	0.0941176
R04318(r)/3.5.1A1/3.5.2.6;	3/3.5.1A1;	0.21826	1	1	0.727273	0.468085	0.285714	0.198473	0.132597	0.105505
R04318(r)/3.5.1A1/3.5.2.6;	3/3.5.1A1;	0.21826	1	1	0.727273	0.468085	0.285714	0.198473	0.132597	0.105505
R09535(r)/3.5.1A1(rev)/3.4.17.23;	3/3.5.1A1;	0.211832	1	0.636364	0.409091	0.441176	0.377358	0.238636	0.132812	0.0777778
R09535(r)/3.5.1A1(rev)/3.4.17.23;	3/3.5.1A1;	0.211832	1	0.636364	0.409091	0.441176	0.377358	0.238636	0.132812	0.0777778
R04103/3.5.1A4/3.5.1.11;	3/3.5.1A1;	0.201802	1	0.8	0.705882	0.40625	0.290909	0.228261	0.15493	0.0603015
R04103/3.5.1A1/3.5.1.11;	3/3.5.1A1;	0.201802	1	0.8	0.705882	0.40625	0.290909	0.228261	0.15493	0.0603015
R04103/3.5.1A4/3.5.1.11;	3/3.5.1A1;	0.201802	1	0.8	0.705882	0.40625	0.290909	0.228261	0.15493	0.0603015
R04103/3.5.1A1/3.5.1.11;	3/3.5.1A1;	0.201802	1	0.8	0.705882	0.40625	0.290909	0.228261	0.15493	0.0603015
R10688(r)/3.5.1A1(rev)/3.4.17.21;	3/3.5.1A1;	0.200409	1	0.636364	0.409091	0.424242	0.326531	0.211765	0.12605	0.0679012
R04611(r)/3.5.1A1(rev)/3.4.17.8;	3/3.5.1A1;	0.19863	1	0.636364	0.409091	0.387097	0.272727	0.208333	0.135922	0.0680272
R08850(r)/3.5.1A1(rev)/3.4.17.8;	3/3.5.1A1;	0.19863	1	0.636364	0.409091	0.387097	0.272727	0.208333	0.135922	0.0680272
R03810/3.5.1A4/3.5.2.13;	3/3.5.1A1;	0.196474	1	0.8	0.6875	0.52	0.375	0.257576	0.0618557	0
R03810/3.5.1A1/3.5.2.13;	3/3.5.1A1;	0.196474	1	0.8	0.6875	0.52	0.375	0.257576	0.0618557	0
R08350/3.5.1A1/;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R01918/3.5.1A1/3.5.1.78;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R01918/3.5.1A4/3.5.1.78;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R08351/3.5.1A4/;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R08351/3.5.1A1/;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R08350/3.5.1A4/;	3/3.5.1A1;	0.193473	1	0.8	0.6875	0.333333	0.255814	0.197183	0.12381	0.0604027
R10687/3.5.1A1/3.4.17.21;	3/3.5.1A1;	0.18872	1	0.8	0.722222	0.566667	0.34	0.164706	0.0550459	0.0264901
R10687/3.5.1A4/3.4.17.21;	3/3.5.1A1;	0.18872	1	0.8	0.722222	0.566667	0.34	0.164706	0.0550459	0.0264901
R10891/3.5.1A4/;	3/3.5.1A1;	0.188184	1	0.8	0.722222	0.46875	0.244444	0.141026	0.0862069	0.0666667
R10891/3.5.1A1/;	3/3.5.1A1;	0.188184	1	0.8	0.722222	0.46875	0.244444	0.141026	0.0862069	0.0666667
R00494/3.5.1A4/3.4.19.13;	3/3.5.1A1;	0.187215	1	0.8	0.705882	0.464286	0.288889	0.168831	0.0818182	0.041958
R00494/3.5.1A1/3.4.19.13;	3/3.5.1A1;	0.187215	1	0.8	0.705882	0.464286	0.288889	0.168831	0.0818182	0.041958
R03916/3.5.1A1/2.3.2.2;	3/3.5.1A1;	0.184685	1	0.8	0.705882	0.464286	0.276596	0.166667	0.0803571	0.0416667
R03916/3.5.1A4/2.3.2.2;	3/3.5.1A1;	0.184685	1	0.8	0.705882	0.464286	0.276596	0.166667	0.0803571	0.0416667
R09680/3.5.1A1/3.5.1.101;	3/3.5.1A1;	0.183623	1	0.6	0.625	0.48	0.3	0.181818	0.10101	0.028777
R07402/3.5.1A4/3.5.1.93;	3/3.5.1A1;	0.180422	1	0.8	0.705882	0.433333	0.326531	0.181818	0.0942029	0.0441989
R07402/3.5.1A1/3.5.1.93;	3/3.5.1A1;	0.180422	1	0.8	0.705882	0.433333	0.326531	0.181818	0.0942029	0.0441989
R04113(r)/3.5.1A1(rev)/3.5.1.72;	3/3.5.1A1;	0.179191	1	0.636364	0.409091	0.323529	0.245283	0.155556	0.106061	0.100592
R04113(r)/3.5.1A1(rev)/3.5.1.72;	3/3.5.1A1;	0.179191	1	0.636364	0.409091	0.323529	0.245283	0.155556	0.106061	0.100592
R04113(r)/3.5.1A1(rev)/3.5.1.72;	3/3.5.1A1;	0.179191	1	0.636364	0.409091	0.323529	0.245283	0.155556	0.106061	0.100592
R11524/3.5.1A4/3.13.1.6;	3/3.5.1A1;	0.178404	1	0.8	0.611111	0.366667	0.272727	0.197183	0.0784314	0.027972
R11524/3.5.1A1/3.13.1.6;	3/3.5.1A1;	0.178404	1	0.8	0.611111	0.366667	0.272727	0.197183	0.0784314	0.027972
R11792/3.5.1A1/3.4.19.16;	3/3.5.1A1;	0.177489	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.0394737
R11792/3.5.1A4/3.4.19.16;	3/3.5.1A1;	0.177489	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.0394737
R00682(r)/3.5.1A1(rev)/3.5.1.57;	3/3.5.1A1;	0.176887	1	0.454545	0.368421	0.25	0.142857	0.142857	0.135922	0.125874
R11795/3.5.1A1/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R11793/3.5.1A4/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R11793/3.5.1A1/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R11795/3.5.1A4/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R11795/3.5.1A1/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R11795/3.5.1A4/3.4.19.16;	3/3.5.1A1;	0.176724	1	0.8	0.705882	0.464286	0.276596	0.158537	0.0762712	0.038961
R09875/3.5.1A1/3.4.19.14;	3/3.5.1A1;	0.175589	1	0.8	0.705882	0.464286	0.276596	0.158537	0.075	0.0387097
R09875/3.5.1A4/3.4.19.14;	3/3.5.1A1;	0.175589	1	0.8	0.705882	0.464286	0.276596	0.158537	0.075	0.0387097
R11794/3.5.1A4/3.4.19.16;	3/3.5.1A1;	0.17484	1	0.8	0.705882	0.464286	0.276596	0.158537	0.075	0.0382166
R11794/3.5.1A1/3.4.19.16;	3/3.5.1A1;	0.17484	1	0.8	0.705882	0.464286	0.276596	0.158537	0.075	0.0382166
R03096/3.5.1A1/3.5.1.4;	3/3.5.1A1;	0.173121	1	0.6	0.5	0.222222	0.173913	0.194444	0.149533	0.0653595
R09536/3.5.1A4/3.5.1.99;	3/3.5.1A1;	0.167901	1	0.8	0.6875	0.384615	0.219512	0.117647	0.0816327	0.0434783
R09536/3.5.1A1/3.5.1.99;	3/3.5.1A1;	0.167901	1	0.8	0.6875	0.384615	0.219512	0.117647	0.0816327	0.0434783
R11622/3.5.1A4/3.5.1.127;	3/3.5.1A1;	0.167364	1	0.8	0.611111	0.413793	0.196078	0.13253	0.0833333	0.0628931
R11622/3.5.1A1/3.5.1.127;	3/3.5.1A1;	0.167364	1	0.8	0.611111	0.413793	0.196078	0.13253	0.0833333	0.0628931
R00463/3.5.1A4/3.5.2.11;	3/3.5.1A1;	0.167064	1	0.8	0.8125	0.481481	0.232558	0.126761	0.0666667	0.0143885
R00463/3.5.1A1/3.5.2.11;	3/3.5.1A1;	0.167064	1	0.8	0.8125	0.481481	0.232558	0.126761	0.0666667	0.0143885
R10687(r)/3.5.1A1(rev)/3.4.17.21;	3/3.5.1A1;	0.165957	1	0.636364	0.409091	0.424242	0.288462	0.137931	0.0747664	0.0333333
R03448/3.5.1A4/3.5.2.12;	3/3.5.1A1;	0.163507	1	0.8	0.6875	0.333333	0.209302	0.112676	0.0776699	0.0555556
R03448/3.5.1A1/3.5.2.12;	3/3.5.1A1;	0.163507	1	0.8	0.6875	0.333333	0.209302	0.112676	0.0776699	0.0555556
R10978/3.5.1A1/3.5.1.117;	3/3.5.1A1;	0.163507	1	0.8	0.6875	0.333333	0.209302	0.112676	0.0776699	0.0555556
