('1467866565', '1916722')
('1916722', 'LIPVUDSNGRJSQE')
('LIPVUDSNGRJSQE', 'RWXZBJIVTZKYFX')
('RWXZBJIVTZKYFX', '1468097851')
('RWXZBJIVTZKYFX', 'MUUFJIFAAHRREF')
('1468097851', 'MUUFJIFAAHRREF')
('1467865652', '383753545')
('1467900185', '1467870034')
('1467870034', '1469351480')
('1467870034', '1467878631')
('1469351480', '1467880967')
('1467880967', 'QFQYZMGOKIROEC')
('1467880967', '1467878631')
('QFQYZMGOKIROEC', 'SATCULPHIDQDRE')
('1467878631', '1467874835')
('1467867640', '1467874835')
