rxnUID,EC,score,rank
06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6,NE_imine_formation_2,0.131524,2
06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6,4.2.1.145,0.5,1
0e3e69ddac516b1172077eb1f541fe372358557515d8c364a0f258ca7b8e4a5a,6.1.3.1,0.5,1
28630a832b291c10684b27b8bd499b19bb60772ff697e96b01c5c12aba32de0c,3.4.17.23,0.262425,1
32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d,3.1.1.85,0.308057,1
4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac,4.2.1.78,0.5,1
4feaf4214480ac6ad9b282d6f4e37629b4d1d6b05d541a96000399e210dd93d6,PnPNS,0.5,1
e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265,3.4.17.23,0.120846,1
f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85,3.1.1.97,0.148252,1
