iterating on 2025-03-04T10:44
150,62.37679696083069,187,54.322153091430664,66,66
1970,3342.0553410053253,1203,350.03505206108093,228,209
6214,4369.367061853409,1803,519.4656200408936,268,230
6809,5247.959585905075,1144,479.0700421333313,208,152
4553,3307.0996379852295,564,161.01843190193176,130,61
1813,2748.418699026108,179,52.26836013793945,101,26
780,1100.213075876236,101,27.09354019165039,82,7
207,447.9626581668854,20,5.4873998165130615,79,3
60,499.83295488357544,8,2.8652870655059814,77,0
77,4
