Number of all outer boundaries,Edges in subnetwork before removing the edges with nonconverged boundary,Edges to remove,Edges in subnetwork after removing the edges with nonconverged boundary,Nodes in subnetwork before removing the nodes on islands without model metabolites,Nodes in subnetwork after removing the nodes on islands without model metabolites
77,5209,85,5124,2373,2364
5,5124,5,5119,2364,2360
1,5117,1,5116,2360,2359
1,5116,1,5115,2359,2359
