iterating on 2025-03-04T10:44
150,37.4113028049469,110,26.458999156951904,23,21
626,1034.627415895462,354,116.5199830532074,51,43
1287,2232.7149460315704,860,242.1212112903595,188,170
5049,5130.43267083168,1690,605.1634349822998,285,246
7339,5424.8000230789185,1214,335.80985283851624,217,164
4894,3917.06546998024,602,179.22718977928162,149,84
2515,3423.290468931198,287,78.31245183944702,102,34
960,868.9045829772949,104,25.484888076782227,74,2
60,51.674890995025635,4,1.0569710731506348,72,0
72,3
