('1467905525', '1467867475')
('1467909375', '1569580795')
('1467909375', '1468218154')
('1467909375', '1467895264')
('1467977461', '1468045856')
('1468098073', '1468330541')
('2756730', '667034166')
('667034166', '1468045664')
('1468097922', '1468300149')
('1468097922', '1468300212')
('1469341199', '1468300149')
('1467986365', '1468095317')
('1467986365', '1468299981')
('1467986365', '1468300149')
('1468279846', '1468300149')
('1468300141', '1468300117')
('1467902576', '1467913386')
('1468097930', '1468300173')
('1468097930', '1468300149')
('1468300149', '1468098265')
('1468300149', '1467986387')
('1467909362', '1467895264')
('1467909362', '1468218154')
('1468001902', '1467895264')
('1468001902', '1467924024')
('1468045856', '5443990')
('1468045856', '1468022095')
('1468045856', '1468045664')
('2908595', '1468022095')
('2908595', '1468045664')
('1468045664', '1569599634')
('1468045664', '1469293825')
('1468095317', '1468299981')
('1468095317', '1468182046')
('1467986387', '1467986254')
('1468299981', '1468291257')
('1468299981', '1468098297')
('1468299981', '1468300117')
('1469340831', '1468182046')
('1468098265', '1468300220')
('1469334816', '1569599634')
('1468279798', '1468330541')
('1468198157', '1467865953')
('1467865936', '1467903511')
('1467865623', '1468054135')
('1467865652', '1468049134')
('1467868189', '1467917156')
('1467868189', '1469335069')
('1467907679', '1468023758')
('1467884067', '1468346515')
('1467884067', '1467994859')
('1467884067', '1468363743')
('1467884067', '1468001961')
('1467884067', '1467913598')
('1467884067', '1468002124')
('1467884067', '1468346523')
('1467866249', '2604439920')
('1468004899', '1569575885')
('1467917915', '1467866492')
('1467866492', '1468023758')
('1467866492', '1468023768')
('1467970452', '1569575885')
('1467867043', '1469334213')
('1467866276', '1467869624')
('1467871406', '1467977475')
('1467870119', '1467976152')
('1467870119', '1467979338')
('1467870119', '1467979959')
('1467870119', '5445294')
('1467870119', '1467979949')
('1467870119', '1467975816')
('1467870119', '1467975262')
('1467870119', '1467975900')
('1467870119', '1467919673')
('1467870119', '1467975826')
('1467870119', '1467975719')
('1467870119', '1467979977')
('1467870119', '1467975644')
('1467870119', '1467975662')
('1468164446', '1468300125')
('1468164446', '1468300109')
('1468164446', '1468300244')
('1468164446', '1468300228')
('1468097922', '1468324992')
('1469360212', '1468307954')
('1467983806', '1468324992')
('1467877470', '1467924024')
('1469340831', '1468312604')
('1467936701', '1468045657')
('1468098297', '1468300125')
('1468300117', '1468300125')
('1468023768', '1468023777')
('1569604472', '1569604268')
('1467867255', '1569604268')
('1467869473', '1467897398')
('1467869473', '1468098882')
('1468312604', '1468097914')
('1468305171', '1468098882')
('1467865623', '1467886913')
('1467884067', '1468002135')
('1467884067', '1468048408')
('1467884067', '1468277679')
('1467884067', '1468373202')
('1467884067', '1467871630')
('1467884067', '644220474')
('1467884067', '1468231761')
('1467884067', '1468278924')
('1467884067', '1468002921')
('1467866249', '1469353161')
('1467917915', '1467917929')
('1467866276', '1468305171')
('1467878398', '1468009211')
('1467894183', '1467917929')
('1467870119', '1569780246')
('1467870119', '1467975737')
('1467870119', '1467976024')
('1468023758', '1468023788')
