R_PR_UID	R_PR_STOICH
2593014985	1 1467874835 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467878631 + 1 1467879801
2786276853	1 1467874835 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467878631 + 1 1467879801
2592977111	1 1467879956 + 1 1467874835 + 1 1467865610 <=> 1 1467865731 + 1 1467878631 + 1 1467879801
1569948817	1 1467874835 + 2 1469442031 + 1 1467865610 <=> 1 1467878631 + 1 1467879801
2592798237	1 1467867640 + 1 1469442031 + 1 1467865967 + 1 1467865563 <=> 1 1467865544 + 1 1467874835 + 2 1467879801
2070071175	1 1467879801 + 1 1467870034 + 1 1467865610 <=> 1 1467865667 + 1 1467865888 + 1 1467879874 + 1 1467900185
1655285299	1 1467870034 + 1 1467865767 <=> 1 1467865798 + 1 1469442031 + 1 1469351480
1556528103	1 1469351480 <=> 1 1467879874 + 1 1467880967
2808792833	1 1467870034 <=> 1 1467878631 + 1 1467879874
2792795630	1 383753545 + 1 1467879801 <=> 1 1467865652 + 1 1467867313
2793348876	1 383753545 + 1 1467866565 <=> 1 1467865652 + 1 1916722
2801476021	1 1467880967 + 1 1467879801 <=> 1 1467867313 + 1 1467878631
2806021714	1 1468014334 + 1 1467880967 <=> 1 1467867313 + 1 1467878631
32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d	1 1467879801 + 1 1916722 <=> 1 1467867313 + 1 1467866565
f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85	1 1467879801 + 1 RWXZBJIVTZKYFX <=> 1 1467867313 + 1 MUUFJIFAAHRREF
28630a832b291c10684b27b8bd499b19bb60772ff697e96b01c5c12aba32de0c	1 1467879801 + 1 1468097851 <=> 1 MUUFJIFAAHRREF
06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6	1 RWXZBJIVTZKYFX <=> 1 1468097851 + 1 1467867313
e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265	1 1467879801 + 1 RWXZBJIVTZKYFX <=> 1 LIPVUDSNGRJSQE + 1 1467868389
4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac	1 1916722 + 1 SATCULPHIDQDRE <=> 1 1467879801 + 1 LIPVUDSNGRJSQE
cbc53d007b31bef72f6adbd3be147086554beaa8d4404751f7350d77ae653e31	1 1467880967 + 1 1467865544 <=> 1 QFQYZMGOKIROEC + 1 1467865563 + 1 1469442031
4feaf4214480ac6ad9b282d6f4e37629b4d1d6b05d541a96000399e210dd93d6	1 QFQYZMGOKIROEC + 1 1467865610 <=> 1 SATCULPHIDQDRE + 1 1467865967
