ENTRY;GENERATION;INCHICODE;INCHIKEY;SMILES;FORMULA
651;1;DWYUWWUCRDOPBQ;DWYUWWUCRDOPBQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccc(C)cc23)C1c1ccc2c(c1)OCO2;
652;1;HFEHLGRJGVTBNM;HFEHLGRJGVTBNM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3cc(C)ccc23)C1c1ccc2c(c1)OCO2;
653;1;ISBWDLFCKMRGCR;ISBWDLFCKMRGCR-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c(C)cccc23)C1c1ccc2c(c1)OCO2;
654;1;IIJCNBZONTZZSG;IIJCNBZONTZZSG-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CN(C)C;
655;1;XIJLRFQSBCHVHE;XIJLRFQSBCHVHE-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c(n(C)c3ccccc23)C1c1ccc2c(c1)OCO2;
656;1;CXZIMCVZIBKOSM;CXZIMCVZIBKOSM-UHFFFAOYSA-N;CNCC(=O)[N+]1(C)C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1;
657;1;IIWBVDNOBUIMEB;IIWBVDNOBUIMEB-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2C(C)C1C(=O)OC;
658;1;HNDCRYXQCSOHNG;HNDCRYXQCSOHNG-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)C[C+]2(C)=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1;
659;1;OXLNXOQITJUNSQ;OXLNXOQITJUNSQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=[C+]2(C)C=CC=C3)C1C1=CC=C2OCOC2=C1;
660;1;KHMVODBKPXEFHO;KHMVODBKPXEFHO-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1[C+]1(C)=CC=C2OCOC2=C1;
661;1;VKTKDNLBBHKEDJ;VKTKDNLBBHKEDJ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2C(=C1)OC[O+]2C;
662;1;AWWGOXBMGQVASB;AWWGOXBMGQVASB-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OC[O+](C)C2=C1;
663;1;GQPBACJHHKEWCM;GQPBACJHHKEWCM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)[O+](C)C)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1;
664;1;KHMVODBKPXEFHO;KHMVODBKPXEFHO-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1[C+]1(C)=CC2=C(C=C1)OCO2;
665;1;VKTKDNLBBHKEDJ;VKTKDNLBBHKEDJ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC2=C(C=C1)[O+](C)CO2;
666;1;AWWGOXBMGQVASB;AWWGOXBMGQVASB-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC2=C(C=C1)OC[O+]2C;
667;1;CXZIMCVZIBKOSM;CXZIMCVZIBKOSM-UHFFFAOYSA-N;CNCC(=O)[N+]1(C)C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC2=C(C=C1)OCO2;
