Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
136,50.530606269836426,146,45.09835696220398,63,59
1770,2670.999475955963,1168,334.7282350063324,235,217
6476,4742.016512870789,1824,553.8208901882172,314,271
8075,5945.7654910087585,1316,358.9564197063446,206,153
4568,3540.756006717682,575,157.87977695465088,119,50
1500,2038.7340059280396,145,46.02159595489502,78,8
210,683.4692170619965,20,6.933828830718994,73,2
60,100.80723905563354,5,1.678936243057251,71,0
71,2
