R_PR_UID	R_PR_STOICH
2592853947	1 1467870034 + 1 1469442031 + 1 1467865563 <=> 1 1467865544 + 1 1467879874 + 1 1467959390
2786254116	1 1467870034 + 1 1467865563 <=> 1 1467865544 + 1 1467879874 + 1 1467959390
2786271750	1 1467870034 + 2 1467865563 <=> 2 1467865544 + 1 1467879874 + 1 1467900196
2070071175	1 1467879801 + 1 1467870034 + 1 1467865610 <=> 1 1467865667 + 1 1467865888 + 1 1467879874 + 1 1467900185
1655285299	1 1467870034 + 1 1467865767 <=> 1 1467865798 + 1 1469442031 + 1 1469351480
1556528103	1 1469351480 <=> 1 1467879874 + 1 1467880967
2601487711	1 1467900207 + 1 1467866617 <=> 1 1467870034 + 1 1467878443
2601433471	1 1467870034 + 1 1467865812 <=> 1 1467866080 + 1 1467900207
1569677035	1 1467870034 + 1 1467865872 <=> 1 1467865856 + 1 1467900207
1569838089	1 1467867780 + 1 1467866617 <=> 1 1467866580 + 1 1467878443
1569944441	1 1467900207 + 1 1467866580 <=> 1 1467867780 + 1 1467870034
2602412633	1 1467900207 + 1 1467898292 <=> 1 1467870034 + 1 1467900185
1569677068	1 1467870034 <=> 1 1467865667 + 1 1467898292
1569810355	1 1467870034 + 1 1469442031 <=> 1 1467865667 + 1 1467898292
1569689500	1 1467878631 <=> 1 1467865667 + 1 1467916064
2774363079	1 1467916064 + 1 1467865667 <=> 1 1469442031 + 1 1467878631
2808792833	1 1467870034 <=> 1 1467878631 + 1 1467879874
1655652635	1 1467898292 <=> 1 1467879874 + 1 1467916064
1737101024	1 1467880967 + 2 1467879801 <=> 1 1467865610 + 2 1469442031 + 1 1468350113
2792795630	1 383753545 + 1 1467879801 <=> 1 1467865652 + 1 1467867313
2793348876	1 383753545 + 1 1467866565 <=> 1 1467865652 + 1 1916722
2801476021	1 1467880967 + 1 1467879801 <=> 1 1467867313 + 1 1467878631
2806021714	1 1468014334 + 1 1467880967 <=> 1 1467867313 + 1 1467878631
2801476548	1 1468350113 + 1 1467879801 <=> 1 1467867313 + 1 1467959390
2806022564	1 1468350113 + 1 1468014334 <=> 1 1467867313 + 1 1467959390
2812987400	1 428869604 + 1 1468014334 <=> 1 1469442031 + 1 1467879788 + 1 1467900207
2812987424	1 428869604 + 1 1468014334 <=> 1 1467879788 + 1 1467900207
2812987346	1 428869604 + 2 1469442031 <=> 1 1467878443 + 1 1467879788
32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d	1 1467879801 + 1 1916722 <=> 1 1467867313 + 1 1467866565
f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85	1 1467879801 + 1 RWXZBJIVTZKYFX <=> 1 1467867313 + 1 MUUFJIFAAHRREF
28630a832b291c10684b27b8bd499b19bb60772ff697e96b01c5c12aba32de0c	1 1467879801 + 1 1468097851 <=> 1 MUUFJIFAAHRREF
06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6	1 RWXZBJIVTZKYFX <=> 1 1468097851 + 1 1467867313
e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265	1 1467879801 + 1 RWXZBJIVTZKYFX <=> 1 LIPVUDSNGRJSQE + 1 1467868389
4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac	1 1916722 + 1 SATCULPHIDQDRE <=> 1 1467879801 + 1 LIPVUDSNGRJSQE
cbc53d007b31bef72f6adbd3be147086554beaa8d4404751f7350d77ae653e31	1 1467880967 + 1 1467865544 <=> 1 QFQYZMGOKIROEC + 1 1467865563 + 1 1469442031
4feaf4214480ac6ad9b282d6f4e37629b4d1d6b05d541a96000399e210dd93d6	1 QFQYZMGOKIROEC + 1 1467865610 <=> 1 SATCULPHIDQDRE + 1 1467865967
