R_PR_UID	R_PR_STOICH
2808991395	1 1468014334 + 1 1467867043 <=> 1 1467865610 + 2 1469442031 + 1 1467873724
1556117166	1 1467872180 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467865812 + 1 1467879801
1556463735	1 1467867342 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 2748681
1556527048	1 1467880463 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467868585
1556539544	1 1467893267 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467871215
1557605188	1 1468314230 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1469415446
1557838265	1 1467868585 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468012885
1557839580	1 1467879801 + 1 1467868585 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1468012885
1557840556	1 1467868585 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 379985808
1557840616	1 1467868585 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467866289 + 1 1467879801 + 1 1467891611
1558369715	1 1467975365 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467919694
1559509860	1 1467868585 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469253737
1559527671	1 1469442031 + 1 1467866080 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469396599
1559557362	1 219247 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467876458
1560274315	1 1467879801 + 1 1467866414 + 1 1467865592 <=> 1 1467865578 + 1 1467866289 + 1 1469442031
1560284220	1 1468091814 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467891784
1560716656	1 1928145 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467865812 + 1 1467879801 + 1 1467879874
1561503395	1 1469425725 + 1 1467865592 <=> 1 1467865578 + 1 1467865812 + 1 1469442031
1569658549	1 1467865936 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467877115
1569671407	1 1467872290 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868131
1569671439	1 1467868131 + 1 1467865783 + 1 1467865687 + 1 1467865592 <=> 1 1467865531 + 1 1467865578 + 1 1469442031 + 1 1467867945
1569691659	1 1467880753 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467920725
1569712291	1 1467876801 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868938
1569715196	1 1467975199 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467975209
1569715386	1 1467975990 + 2 1469442031 + 2 1467865610 + 2 1467865578 <=> 2 1467865592 + 3 1467879801 + 1 1467976002
1569716379	1 1467876496 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467870413 + 1 1467879801
1569716452	1 1467919099 + 2 1467865592 <=> 2 1467865578 + 1 1469442031 + 1 1467913119
1569736296	1 1467867945 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467874758 + 1 1467879801
1569749979	1 1467870413 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467955129
1569754567	1 1467868313 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468019889
1569802746	1 1467920622 + 1 1467865592 <=> 1 1467865578 + 1 1467886864
1569807447	1 1467879801 + 1 1467867962 + 1 1467865592 <=> 1 1467865578 + 2 1469442031 + 1 1467871653
1569816244	1 1467866617 + 1 1467865767 + 1 1467865578 <=> 1 1467865592 + 1 1467866492 + 1 1469442031 + 1 1467880753 + 1 1467907679 + 1 1468004899
1569816349	7 1467866633 + 14 1469442031 + 1 1467865841 + 14 1467865578 <=> 14 1467865592 + 8 1467865652 + 7 1467865667 + 1 1467868847 + 6 1467879801
1569816410	7 1467866633 + 14 1469442031 + 1 1467865841 + 14 1467865578 <=> 14 1467865592 + 7 1467865652 + 7 1467865667 + 1 1467867611 + 7 1467879801
1569819879	1 1467970739 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467873229
1569820983	1 1467868924 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467878443
1569823811	1 1467865812 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467865841
1569827871	1 1467868971 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468008547
1569831642	1 1467865872 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467866749
1569833673	1 1467874065 + 1 1467865578 <=> 1 1467865592 + 1 1467871215
1569835411	1 1467868504 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467865841
1569835957	1 1467880789 + 1 1467865578 <=> 1 1467865592 + 1 1467871372
1569836539	1 1467871750 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467910959
1569836593	1 1468200688 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467870413 + 1 1467879801
1569840461	1 1467911289 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467866856
1569840479	1 1467879801 + 1 1467872278 + 1 1467865592 <=> 1 1467865578 + 1 1467869810
1569840543	1 2409233 + 1 1467865578 <=> 1 1467865592 + 1 1467919099
1569840622	1 1467910959 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 2 1467879801 + 1 1467881156
1569841203	1 1467865936 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468039514
1569841828	1 1467866617 + 1 1467865767 + 1 1467865578 <=> 1 1467865592 + 1 1467866492 + 1 1467880753 + 1 1467907679 + 1 1468004899
1569848857	1 1467867962 + 1 1467865578 <=> 1 1467865592 + 1 1467870302
1569848997	1 1467867780 + 1 1467865578 <=> 1 1467865592 + 1 1467910783
1569850374	1 1467876496 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467882059
1569851558	1 1467880753 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467920725
1569851622	1 1467869144 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468596216
1569852015	1 1467899707 + 1 1467879874 + 2 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467873336
1569852123	1 1467874171 + 2 1467865687 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 2 1467871046
1569853769	1 1467878129 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467915001
1569857660	1 1467879801 + 1 1467869030 + 1 1467865592 <=> 1 1467865578 + 1 1467870360
1569872270	1 1467866549 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468048369
1569875819	1 1469442031 + 1 1467865856 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865623 + 1 1467865636 + 1 1467878310
1569877288	1 1468023700 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467917979
1569877305	1 1467917966 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468023700
1569877505	1 1467866475 + 1 1467865592 <=> 1 1467865578 + 1 1467909303
1569879329	1 1468036822 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467880354
1569881604	1 1467874654 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467866648 + 1 1467879801 + 1 1467879874
1569884104	1 1468181808 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467897335
1569889104	1 1467919099 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 2409233
1569889858	1 1467867073 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467869079 + 1 1467872373 + 1 1467879801
1569891688	1 1469442031 + 1 1467865910 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467886980
1569893005	1 1467907896 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467865967 + 1 1467866414 + 1 1467879801
1569900701	1 1467868822 + 1 1467865578 <=> 1 1467865592 + 1 1467870443
1569900714	1 1467870443 + 1 1467865592 <=> 1 1467865578 + 1 1467880624
1569901034	1 1467879801 + 1 1467870360 + 1 1467865592 <=> 1 1467865578 + 1 1467870164
1655214836	1 1469320193 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467886510
1655508697	1 1467907896 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469355360
1569905808	1 1467974028 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467868655 + 1 1467879801
1569912318	1 1467984126 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467898352
1569913618	1 1467907896 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467872180 + 2 1467879801
1569916781	1 59937801 + 1 1467865578 <=> 1 1467865592 + 1 1467866080 + 1 1468116043
1569917628	1 1467974028 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467867268 + 1 1467879801
1569918064	1 1467869909 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467868222
1569921678	1 1467905207 + 1 1467879801 + 1 1467878443 + 2 1467865592 <=> 2 1467865578 + 3 1469442031 + 1 1467868344 + 1 1467879874 + 1 1468208822
1569923260	1 1467871246 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467866648 + 2 1467879801
1569927104	1 1467865731 + 2 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879956
1569927703	3 1467879801 + 1 1467873776 + 1 1467865667 + 1 1467865652 + 3 1467865592 <=> 3 1467865578 + 1 1467865610 + 4 1469442031 + 1 1467866633 + 1 1467868847
1569927747	1 1467884933 + 3 1467879801 + 3 1467865667 + 3 1467865652 + 6 1467865592 <=> 6 1467865578 + 1 1467865841 + 9 1469442031 + 3 1467866633
1569927770	1 1467917646 + 2 1467879801 + 3 1467865667 + 4 1467865652 + 6 1467865592 <=> 6 1467865578 + 1 1467865841 + 8 1469442031 + 3 1467866633
1569928243	1 1468198157 + 2 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467884067
1569928259	1 1467876801 + 1 1467865592 <=> 1 1467865578 + 2 1469442031 + 1 1468196579
1569930360	1 1467909349 + 1 1467897525 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467865687 + 1 1467983144
1569934690	1 1467872515 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467967456
1569934707	1 1467967456 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467967445
1569943225	1 1467892965 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1467866617
1569943400	1 1467932613 + 2 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467880189
1569943565	1 1467866648 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467865841 + 1 1469442031
1569943720	1 1469442031 + 1 1467866492 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467892817
1569944353	1 1467877378 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467877803
1569944733	1 1467879801 + 1 1467867945 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1467868131
1569945403	1 1467867640 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467872967 + 1 1467879801
1569945666	1 1468007040 + 3 1467879801 + 1 1467865667 + 2 1467865592 <=> 2 1467865578 + 2 1467865610 + 1 1467866580 + 2 1469442031
1569946912	1 1467870302 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467867163
1569947252	1 1467920499 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865636 + 1 1469442031
1569947794	1 1467876469 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467868867
1569948245	1 1467908977 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467924024
1569948426	1 1467879801 + 1 1467866633 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1467913988
1569950759	1 1467917663 + 5 1467879801 + 6 1467865667 + 7 1467865652 + 12 1467865592 <=> 12 1467865578 + 1 1467865841 + 17 1469442031 + 6 1467866633
1569950930	1 1468002286 + 6 1467879801 + 1 1467865798 + 8 1467865667 + 9 1467865652 + 11 1467865592 <=> 11 1467865578 + 1 1467865767 + 1 1467865841 + 18 1469442031 + 8 1467866633
1569951390	1 1467879801 + 1 1467868847 + 1 1467865667 + 1 1467865652 + 2 1467865592 <=> 2 1467865578 + 3 1469442031 + 1 1467866633 + 1 1467917663
1569951413	1 1467917663 + 1 1467879801 + 1 1467865667 + 1 1467865652 + 2 1467865592 <=> 2 1467865578 + 3 1469442031 + 1 1467866633 + 1 1467890574
1569953989	1 1467902407 + 3 1467879801 + 1 1467865667 + 2 1467865592 <=> 2 1467865578 + 2 1467865610 + 2 1469442031 + 1 1467866617
1570000243	1 1467879801 + 2 1467865856 + 1 1467865841 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865623 + 1 1467865636 + 1 1467865652 + 1 1467865872 + 1 1467865967 + 1 1467866549
1570007661	1 1467879801 + 1 1467872180 + 1 1467865592 <=> 1 1467865578 + 1 1467868029
1570007681	1 1467879801 + 1 1467872719 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467872213
1570007932	1 1467868463 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467974866
1570008036	1 1468099267 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 2 1469442031 + 1 1467874723
1570008158	1 1468659564 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 4 1469442031 + 1 1467881851
1570008188	1 1468659564 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 6 1469442031 + 1 1467917714
1570008218	1 1468659564 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467881276
1570008247	1 1468218402 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467874723
1570008592	1 1467917646 + 1 1467865578 <=> 1 1467865592 + 6 1469442031 + 1 1467872719 + 1 1467879801
1570014808	1 1467879801 + 6 1469442031 + 8 1467865841 + 14 1467865578 + 7 1467865531 <=> 14 1467865592 + 7 1467865623 + 7 1467865636 + 8 1467865652 + 1 1467868847
1570014869	2 1467865856 + 1 1467865841 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865623 + 1 1467865636 + 1 1467865652 + 1 1467865872 + 1 1467870941
1570023151	1 1467866249 + 1 1467865578 <=> 1 1467865592 + 1 1467866262 + 1 1467970772
1570023243	1 1468197186 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1468082065
1570023298	1 1467880789 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467871372
1570024004	1 1467894183 + 1 1467865578 <=> 1 1467865592 + 1 1467917915
1570024015	1 1467894519 + 1 1467865578 <=> 1 1467865592 + 1 1569769255
1570024052	1 1467911560 + 1 1467865578 <=> 1 1467865592 + 1 1467866262 + 1 1467911461
1570024132	1 1467888528 + 1 1467865578 <=> 1 1467865592 + 1 1467871989
1570024205	2 1569768601 + 2 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1469442031 + 2 1467869709 + 2 1467872033 + 2 1467879801
1570024276	1 1569768544 + 5 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467945452
1570024289	1 1569768551 + 5 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467919099
1570024302	1 1569768562 + 5 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467977350
1570024400	1 1467866177 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467869559
1570025049	1 1467871544 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1569765709
1570025249	1 1467880176 + 1 1467865592 <=> 1 1467865578 + 9 1469442031 + 1 1467974866
