M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE	M_XR_ALL_OTHER	M_XR_KEGG
7707	2,3,4-trihydroxy-5-(hydroxymethyl)-2-oxolanecarboxylic acid	XPFSDLKBUIGDJW	OCC1OC(C(C1O)O)(O)C(=O)O	C6H10O7	0.0		
10368	2-[[4-carboxy-4-[2-[hydroxy-[2,3,4-trihydroxy-5-(2,4,8-trioxo-1H-pyrimido[4,5-b]quinolin-10-yl)pentoxy]phosphoryl]oxypropanoylamino]butanoyl]amino]pentanedioic acid	XXFFZHQKSZLLIT	O=C(NC(C(=O)O)CCC(=O)O)CCC(C(=O)O)NC(=O)C(OP(=O)(OCC(C(C(Cn1c2cc(=O)ccc2cc2c1[nH]c(=O)[nH]c2=O)O)O)O)O)C	C29H36N5O18P	0.0		
12970	2-amino-2-(3-hydroxyphenyl)acetic acid	DQLYTFPAEVJTFM	OC(=O)C(c1cccc(c1)O)N	C8H9NO3	0.0		
15544	[[5-(4-amino-2-oxo-1-pyrimidinyl)-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	ARLKCWCREKRROD	Nc1ccn(c(=O)n1)C1CCC(O1)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H16N3O12P3	0.0		
29072	4-aminobut-2-enoic acid	FMKJUUQOYOHLTF	NCC=CC(=O)O	C4H7NO2	0.0		
77321	Cyclohexane-1-carboxylate	NZNMSOFKMUBTKW	OC(=O)C1CCCCC1	C7H12O2	0.0	CPD-575,cpd06714,FDB003406,HMDB0031342,MNXM8476	C09822
79670	2-phenylethanethioic S-acid	IXOFPUCWZCAFJX	SC(=O)Cc1ccccc1	C8H8OS	0.0		
82068	2-propen-1-amine	VVJKKWFAADXIJK	NCC=C	C3H7N	0.0		
82552	3-hydroxybutanal	HSJKGGMUJITCBW	CC(CC=O)O	C4H8O2	0.0		
94275	3-aminopropan-1-ol	WUGQZFFCHPXWKQ	NCCCO	C3H9NO	0.0		
106318	6-aminohexane-1,2,3,4,5-pentol	SDOFMBGMRVAJNF	NCC(C(C(C(CO)O)O)O)O	C6H15NO5	0.0		
115765	ethenol	IMROMDMJAWUWLK	OC=C	C2H4O	0.0		
116487	3-amino-2-hydroxypropanoic acid	BMYNFMYTOJXKLE	NCC(C(=O)O)O	C3H7NO3	0.0		
126655	N'-hydroxymethanimidamide	IONSZLINWCGRRI	NC=NO	CH4N2O	0.0		
