M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE	M_XR_ALL_OTHER	M_XR_KEGG
127632	N-ethylformamide	KERBAAIBDHEFDD	CCNC=O	C3H7NO	0.0		
140077	2-propynoic acid methyl ester	IMAKHNTVDGLIRY	COC(=O)C#C	C4H4O2	0.0		
157785	3-octenoic acid	IWPOSDLLFZKGOW	CCCCC=CCC(=O)O	C8H14O2	0.0		
167247	3-phenylpropan-1-amine	LYUQWQRTDLVQGA	NCCCc1ccccc1	C9H13N	0.0		
190815	6-hydroxy-2-oxohexa-3,5-dienoic acid	MTOBWJUHQXQURZ	OC=CC=CC(=O)C(=O)O	C6H6O4	0.0		
219247	3-hydroxyprop-2-enal	GMSHJLUJOABYOM	OC=CC=O	C3H4O2	0.0	cpd20696,MNXM61004	
263584	4-amino-2-hydroxybutanoic acid	IVUOMFWNDGNLBJ	NCCC(C(=O)O)O	C4H9NO3	0.0		
289298	1-amino-2-phenylethanol	DVPHFCAEZWKFDG	NC(Cc1ccccc1)O	C8H11NO	0.0		
289540	S-(2-aminoethyl) benzenecarbothioate	RXAXEXYDIIGAFS	NCCSC(=O)c1ccccc1	C9H11NOS	0.0		
292802	N-formylformamide	AIDQCFHFXWPAFG	O=CNC=O	C2H3NO2	0.0		
299951	[3-(2-aminoethyl)-1H-indol-5-yl] 4-aminobenzoate	OIBPHEVIQQAKLT	NCCc1c[nH]c2c1cc(cc2)OC(=O)c1ccc(cc1)N	C17H17N3O2	0.0		
379111	1-phenylbut-3-en-2-one	PTUXNCQDACBMKP	C=CC(=O)Cc1ccccc1	C10H10O	0.0		
384392	N-(diaminomethylene)acetamide	NGGXACLSAZXJGM	NC(=NC(=O)C)N	C3H7N3O	0.0		
516612	(2S)-3-phenyl-2-(3-phenylprop-2-enoylamino)propanoic acid	YFHVCODMDZNZEA	O=C(NC(C(=O)O)Cc1ccccc1)C=Cc1ccccc1	C18H17NO3	0.0		
582991	2-amino-1-(1H-indol-3-yl)ethanol	UMDWJYHTZUWTET	NCC(c1c[nH]c2c1cccc2)O	C10H12N2O	0.0		
608359	2-hydroxycyclohex-2-en-1-one	JQPFYXFVUKHERX	O=C1CCCC=C1O	C6H8O2	0.0		
639246	4-amino-1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]pyrimidin-2-one	OOBICGOWICFMIX	Nc1ccn(c(=O)n1)C1OC(C=C1)CO	C9H11N3O3	0.0		
644038	1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]pyrimidine-2,4-dione	NZXWQUCGACTHLK	OCC1OC(C=C1)n1ccc(=O)[nH]c1=O	C9H10N2O4	0.0		
659952	phenyl hydrogen carbonate	QIIPQYDSKRYMFG	OC(=O)Oc1ccccc1	C7H6O3	0.0		
660368	2-hydroxyacetic acid methyl ester	GSJFXBNYJCXDGI	COC(=O)CO	C3H6O3	0.0		
666975	2-(4-chlorophenyl)ethanamine	SRXFXCKTIGELTI	NCCc1ccc(cc1)Cl	C8H10ClN	0.0		
685579	ethyl 2-aminopropanoate	ROBXZHNBBCHEIQ	CCOC(=O)C(N)C	C5H11NO2	0.0		
685632	2-(2-hydroxypropanoyloxy)propanoic acid	OZZQHCBFUVFZGT	OC(=O)C(OC(=O)C(O)C)C	C6H10O5	0.0		
687362	2-hydroxyethyl formate	UKQJDWBNQNAJHB	OCCOC=O	C3H6O3	0.0		
687659	2,2-dihydroxyacetaldehyde	ROUFUEVOXWOSOA	O=CC(O)O	C2H4O3	0.0		
690128	N-(2-hydroxyethyl)formamide	BAMUPQJDKBGDPU	OCCNC=O	C3H7NO2	0.0		
692871	4-amino-N-phenylbenzamide	QHWDUJPWCGEBTH	Nc1ccc(cc1)C(=O)Nc1ccccc1	C13H12N2O	0.0		
694605	nitrosomethane	IMHRONYAKYWGCC	CN=O	CH3NO	0.0		
702155	2-(3,4-dihydroxyphenyl)acetamide	PFDFJMIGPOJBQV	NC(=O)Cc1ccc(c(c1)O)O	C8H9NO3	0.0		
703517	N-carbamoylformamide	JOWMUPQBELRFRZ	O=CNC(=O)N	C2H4N2O2	0.0		
715981	[[(2S,5R)-5-(2,4-dioxo-1-pyrimidinyl)-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	OTXOHOIOFJSIFX	O=c1ccn(c(=O)[nH]1)C1CCC(O1)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H15N2O13P3	0.0		
731085	N-(4-formylphenyl)acetamide	SKLUWKYNZNXSLX	O=Cc1ccc(cc1)NC(=O)C	C9H9NO2	0.0		
731525	2-hydroxyethylurea	CLAHOZSYMRNIPY	NC(=O)NCCO	C3H8N2O2	0.0		
1887824	cyanourea	GIVGDJZVMHYWDM	NC(=O)NC#N	C2H3N3O	0.0		
1888927	formyl acetate	ORWKVZNEPHTCQE	O=COC(=O)C	C3H4O3	0.0		
1897213	4-aminobenzamide	QIKYZXDTTPVVAC	Nc1ccc(cc1)C(=O)N	C7H8N2O	0.0		
1902574	(2R,3R,4S,5R,6R)-2,3,4,5,6,7-hexahydroxyheptanal	YPZMPEPLWKRVLD	OCC(C(C(C(C(C=O)O)O)O)O)O	C7H14O7	0.0		
1916722	(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid methyl ester	KCUNTYMNJVXYKZ	COC(=O)C(Cc1c[nH]c2c1cccc2)N	C12H14N2O2	0.0		
1928145	2-oxopropanamide	FPOLWERNILTNDK	NC(=O)C(=O)C	C3H5NO2	0.0		
1966429	(4-cyanophenyl) acetate	CJGXWABHYYJNJH	N#Cc1ccc(cc1)OC(=O)C	C9H7NO2	0.0		
1974890	(2S)-2-hydroxy-2-[(2S,3R,4R,5S)-3,4,5-trihydroxy-2-oxolanyl]acetic acid	OEVWLAOZEALENB	OC(C1OC(C(C1O)O)O)C(=O)O	C6H10O7	0.0		
1975937	2-[(2-amino-6-oxo-3H-purin-9-yl)methoxy]ethyl dihydrogen phosphate	KUOAJOVOKFATQE	Nc1nc(=O)c2c([nH]1)n(COCCOP(=O)(O)O)cn2	C8H12N5O6P	0.0		
1975948	[2-[(2-amino-6-oxo-3H-purin-9-yl)methoxy]ethoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	AYWLSIKEOSXJLA	Nc1nc(=O)c2c([nH]1)n(COCCOP(=O)(OP(=O)(OP(=O)(O)O)O)O)cn2	C8H14N5O12P3	0.0		
1988755	2-phenylbut-2-enedioic acid	CQNPSIAJXGEDQS	OC(=O)C(=CC(=O)O)c1ccccc1	C10H8O4	0.0		
2008532	phenyl 4-hydroxybenzoate	GJLNWLVPAHNBQN	Oc1ccc(cc1)C(=O)Oc1ccccc1	C13H10O3	0.0		
2088584	phenyl 3-phenylprop-2-enoate	NBFNGRDFKUJVIN	O=C(Oc1ccccc1)C=Cc1ccccc1	C15H12O2	0.0		
2091811	N-ethyl-2-hydroxypropanamide	PWHWWMHNXSWQLD	CCNC(=O)C(O)C	C5H11NO2	0.0		
2091844	2-phenylbutanedioic acid	LVFFZQQWIZURIO	OC(=O)C(c1ccccc1)CC(=O)O	C10H10O4	0.0		
2093922	4-hydroxy-2-oxolanone	FUDDLSHBRSNCBV	OC1CC(=O)OC1	C4H6O3	0.0		
2130500	2-[(2-aminoacetyl)amino]prop-2-enoic acid	HJIIFWYYFJPTGK	NCC(=O)NC(=C)C(=O)O	C5H8N2O3	0.0		
2155193	ethene-1,1-diol	LONYOMRPNGXPGP	OC(=C)O	C2H4O2	0.0		
2157695	(1-hydroxy-3-phosphonooxypropan-2-yl) dihydrogen phosphate	IBPDKUYWDGDBQW	OCC(OP(=O)(O)O)COP(=O)(O)O	C3H10O9P2	0.0		
2168177	4-hydroxypent-2-enal	OFWXLYPSGLVHNC	O=CC=CC(O)C	C5H8O2	0.0		
2211264	(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-(ethylthio)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	HMFDVPSBWOHOAP	CCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	C12H21N3O6S	0.0		
2244007	3-pentenal	WUCQRXWCJPCWTQ	O=CCC=CC	C5H8O	0.0		
2325594	4-hydroxy-N-methylbenzamide	VKDNYQKDAXLFIL	CNC(=O)c1ccc(cc1)O	C8H9NO2	0.0		
2352689	1-butene-1,4-diol	OZCRKDNRAAKDAN	OCCC=CO	C4H8O2	0.0		
2354848	3-(1H-indol-3-yl)-2-ureido-propanoic acid	NWLXJVDJMARXSP	NC(=O)NC(C(=O)O)Cc1c[nH]c2c1cccc2	C12H13N3O3	0.0		
2359232	oxocyanamide	CAMRHYBKQTWSCM	O=NC#N	CN2O	0.0		
2359582	3-butenal	IWJMQXOBCQTQCF	C=CCC=O	C4H6O	0.0		
2359593	2-oxopentanal	GDTHVMAIBQVUMV	CCCC(=O)C=O	C5H8O2	0.0		
2361519	ethynol	QFXZANXYUCUTQH	OC#C	C2H2O	0.0		
2369146	11-hydroxyoctadeca-9,12-dienoic acid	GIJZWHLTBMCTJV	CCCCCC=CC(C=CCCCCCCCC(=O)O)O	C18H32O3	0.0		
2402669	2-ethylidenebutanedioic acid	NRSMWHGLCNBZSO	CC=C(C(=O)O)CC(=O)O	C6H8O4	0.0		
2409233	2-(3,4-dihydroxyphenyl)chromenylium-3,5,7-triol	VEVZSMAEJFVWIL	Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O	C15H11O6+	1.0		
2446544	2,4-dioxopentyl dihydrogen phosphate	LRWLMFKDYYVQOB	O=C(CC(=O)C)COP(=O)(O)O	C5H9O6P	0.0		
2464064	propane-1,1-diol	ULWHHBHJGPPBCO	CCC(O)O	C3H8O2	0.0		
2464976	vinyl dihydrogen phosphate	BNKAXGCRDYRABM	C=COP(=O)(O)O	C2H5O4P	0.0		
2481703	pentane-2,3,4-trione	MVDYEFQVZNBPPH	O=C(C(=O)C)C(=O)C	C5H6O3	0.0		
2494624	2-phenylethenone	RZGZTQYTDRQOEY	O=C=Cc1ccccc1	C8H6O	0.0		
2497200	2-phenylethenol	XLLXMBCBJGATSP	OC=Cc1ccccc1	C8H8O	0.0		
2501886	1-propen-1-one	UYLUJGRCKKSWHS	CC=C=O	C3H4O	0.0		
2508959	2-(3-chlorophenyl)ethanamine	NRHVNPYOTNGECT	NCCc1cccc(c1)Cl	C8H10ClN	0.0		
2515275	2,3-dihydroxypropanoic acid methyl ester	COFCNNXZXGCREM	COC(=O)C(CO)O	C4H8O4	0.0		
2521742	1,4-diphenylbutane-1,2,3,4-tetrone	UPXVJHYPJTZTAF	O=C(C(=O)c1ccccc1)C(=O)C(=O)c1ccccc1	C16H10O4	0.0		
2523934	2-buten-2-ol	ZEXFAVZTIZXHFA	CC=C(O)C	C4H8O	0.0		
2526911	1-cyclohexa-2,4-dienone	WQPDQJCBHQPNCZ	O=C1CC=CC=C1	C6H6O	0.0		
2546213	2-methylbut-3-enoic acid	GQWNPIKWYPQUPI	CC(C(=O)O)C=C	C5H8O2	0.0		
2549390	1-buten-1-ol	SIIVGPQREKVCOP	CCC=CO	C4H8O	0.0		
2550415	1-propen-1-ol	DOKHEARVIDLSFF	CC=CO	C3H6O	0.0		
2571951	2-oxobutanal	RWHQMRRVZJSKGX	CCC(=O)C=O	C4H6O2	0.0		
2586152	(4R,5R)-1,4,5,6-tetrahydroxyhexane-2,3-dione	ZJLNMPGCXVVXDR	OCC(C(C(=O)C(=O)CO)O)O	C6H10O6	0.0		
2597604	2-butene-1,4-diamine	FPYGTMVTDDBHRP	NCC=CCN	C4H10N2	0.0		
2615432	6-oxohexa-2,4-dienoic acid	MGCBXZGOSMSZBJ	O=CC=CC=CC(=O)O	C6H6O3	0.0		
2625177	ethane-1,1-diol	AZHSSKPUVBVXLK	CC(O)O	C2H6O2	0.0		
2625529	4-[(2S)-2-amino-3-hydroxypropyl]phenol	DBLDQZASZZMNSL	OCC(Cc1ccc(cc1)O)N	C9H13NO2	0.0		
2626921	(3R)-3-amino-2-hydroxy-3-phenylpropanoic acid	RZARFIRJROUVLM	NC(C(C(=O)O)O)c1ccccc1	C9H11NO3	0.0		
2630316	1,4-diaminobutan-2-one	ODANWMOQWMHGCY	NCCC(=O)CN	C4H10N2O	0.0		
2630739	(3S,4S)-1,3,4-trihydroxyhexane-2,5-dione	KFHNTUHHTDAEOF	CC(=O)C(C(C(=O)CO)O)O	C6H10O5	0.0		
2632339	3-oxo-2-phosphonooxypropanoic acid	KBLQTRXAGCIRPZ	O=CC(C(=O)O)OP(=O)(O)O	C3H5O7P	0.0		
2636570	1-[4-hydroxy-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione	RBEXWVGCIBHYAD	Cc1cn(C2OC(C(=C2)O)CO)c(=O)[nH]c1=O	C10H12N2O5	0.0		
2639605	(2S)-2-amino-3-(2,4-dihydroxyphenyl)propanoic acid	UTIMIHJZXIJZKZ	OC(=O)C(Cc1ccc(cc1O)O)N	C9H11NO4	0.0		
2642238	(2S)-2-formamido-3-(1H-indol-3-yl)propanoic acid	RNEMLJPSSOJRHX	O=CNC(C(=O)O)Cc1c[nH]c2c1cccc2	C12H12N2O3	0.0		
2662651	2-phenylethenamine	UWRZIZXBOLBCON	NC=Cc1ccccc1	C8H9N	0.0		
2667500	ethyl (1R,3S,4R,5R)-3-hydroxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylate	ABDMBNAKYBUEEX	CCOC(=O)C1C(O)CC2N(C1CC2)C	C11H19NO3	0.0		
2676872	3,4-dioxocyclohexa-1,5-diene-1-carboxylic acid	DTNCPPNQMPSEJC	OC(=O)C1=CC(=O)C(=O)C=C1	C7H4O4	0.0		
2714342	(2S)-2-amino-5-hydroxy-4-oxopentanoic acid	FRTKOPTWTJLHNO	OCC(=O)CC(C(=O)O)N	C5H9NO4	0.0		
2737515	4-hydroxybut-2-enal	FXCMZPXXCRHRNK	OCC=CC=O	C4H6O2	0.0		
2748681	1,4-diaminobutan-2-ol	HXMVNCMPQGPRLN	NCCC(CN)O	C4H12N2O	0.0		
2749106	N-ethylhydroxylamine	VDUIPQNXOQMTBF	CCNO	C2H7NO	0.0		
2751370	(2S,4R,5R)-2,4,5,6-tetrahydroxy-3-oxohexanal	YCGQDHZBOHHYGE	OCC(C(C(=O)C(C=O)O)O)O	C6H10O6	0.0		
2756730	5-hydroxy-3-[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-2-(3,4,5-trihydroxyphenyl)-1-benzopyran-7-one	XIIACXXCJBZLHS	OCC1OC(Oc2cc3c(O)cc(=O)cc3oc2c2cc(O)c(c(c2)O)O)C(C(C1O)O)O	C21H20O12	0.0	cpd08920	
2759857	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [[[(2R,3S,4R,5R)-5-(2,4-dioxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate	ADWZBTIGCZHWBW	O=c1ccn(c(=O)[nH]1)C1OC(C(C1O)O)COP(=O)(OP(=O)(OP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O)O)O	C19H27N7O21P4	0.0		
2792575	2-hydroxy-2-phenylacetaldehyde	JCISRQNKHZNVHJ	O=CC(c1ccccc1)O	C8H8O2	0.0		
2799028	4-aminobutan-2-ol	NAXUFNXWXFZVSI	CC(CCN)O	C4H11NO	0.0		
2815672	2-hydroxypent-4-enoic acid	VFSVBYJVPHDQQC	OC(C(=O)O)CC=C	C5H8O3	0.0		
2823535	ethene-1,1,2-triol	MLTWWHUPECYSBZ	OC=C(O)O	C2H4O3	0.0		
2891417	2-nitrosoethanol	GANMTNJMVXKHNT	OCCN=O	C2H5NO2	0.0		
2900032	indole-1-carbaldehyde	JZWXUCFEVWHNKB	O=Cn1ccc2c1cccc2	C9H7NO	0.0		
2903019	carbonoperoxoic acid	MMCOUVMKNAHQOY	OOC(=O)O	CH2O4	0.0		
2904448	1-aminoethenolate	UEFNHFCSZBRPPV	[O-]C(=C)N	C2H4NO-	-1.0		
2908595	2-(3,4-dihydroxyphenyl)-3,7-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-1-benzopyran-5-one	VMQTXGMFZBVVQQ	OCC1OC(Oc2cc(=O)c3c(c2)oc(c(c3)OC2OC(CO)C(C(C2O)O)O)c2ccc(c(c2)O)O)C(C(C1O)O)O	C27H30O16	0.0		
2939564	2,3-dihydroxypropanamide	XLGVHAQDCFITCH	NC(=O)C(CO)O	C3H7NO3	0.0		
2969881	(2S,3S,4R)-2-amino-3,4,5-trihydroxypentanal	RNZJRDIKDNXKIJ	OCC(C(C(C=O)N)O)O	C5H11NO4	0.0		
2970097	[[(2R,3S,4R,5R)-5-(2,4-dioxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate	SBVYRQFJZOKNGO	OC1C(COP(=O)(OP(=O)(OP(=O)(OP(=O)(O)O)O)O)O)OC(C1O)n1ccc(=O)[nH]c1=O	C9H16N2O18P4	0.0		
2981780	1,2-diphenylethenol	BTYKKTHKEGJHPO	OC(=Cc1ccccc1)c1ccccc1	C14H12O	0.0		
2996775	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [(3R)-4-[[3-[2-(ethylthio)ethylamino]-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutyl] hydrogen phosphate	YGTAAWZKDDQUQN	CCSCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C23H40N7O16P3S	0.0		
2998305	3-hydroxy-3-(4-hydroxyphenyl)propanoic acid	AKWHTKRUNUYXDS	OC(=O)CC(c1ccc(cc1)O)O	C9H10O4	0.0		
3004004	(2-hydroxy-3-phosphonooxypropyl) dihydrogen phosphate	YEENKMKEGPBVHG	OC(COP(=O)(O)O)COP(=O)(O)O	C3H10O9P2	0.0		
3005328	1-(1H-indol-3-yl)propane-1,2,3-triol	XINKZRRAVQNCLX	OCC(C(c1c[nH]c2c1cccc2)O)O	C11H13NO3	0.0		
3005742	[(3S,4R)-3,4-dihydroxy-2-oxopentyl] dihydrogen phosphate	AVEHMJVDRGMBHD	CC(C(C(=O)COP(=O)(O)O)O)O	C5H11O7P	0.0		
3010454	4-oxopent-2-enedioic acid	KRSRJVGQNCNEFU	OC(=O)C=CC(=O)C(=O)O	C5H4O5	0.0		
3010793	(2S,3R,4S,5S,6R)-2-ethenoxy-6-(hydroxymethyl)oxane-3,4,5-triol	RSDMPVNLUKICCT	C=COC1OC(CO)C(C(C1O)O)O	C8H14O6	0.0		
3015011	[(2R,3S,4R,5R)-5-(2,4-dioxo-1-pyrimidinyl)-4-hydroxy-2-[[hydroxy(phosphonooxy)phosphoryl]oxymethyl]-3-oxolanyl] phosphono hydrogen phosphate	VEWFJWUGNWJRLL	OC1C(OP(=O)(OP(=O)(O)O)O)C(OC1n1ccc(=O)[nH]c1=O)COP(=O)(OP(=O)(O)O)O	C9H16N2O18P4	0.0		
3020982	[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-4-hydroxy-2-[[hydroxy(phosphonooxy)phosphoryl]oxymethyl]-3-oxolanyl] phosphono hydrogen phosphate	KCYLRYJAQINMGQ	OC1C(OP(=O)(OP(=O)(O)O)O)C(OC1n1ccc(nc1=O)N)COP(=O)(OP(=O)(O)O)O	C9H17N3O17P4	0.0		
3021993	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-phenyl-propanethioate	MALGIDLHCBJJKW	OCC(c1ccccc1)C(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C30H44N7O18P3S	0.0		
3043414	[(2S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-4-hydroxy-2-oxolanyl]methyl dihydrogen phosphate	SCVBZIYRQRHLNC	OC1CC(OC1n1ccc(nc1=O)N)COP(=O)(O)O	C9H14N3O7P	0.0		
3273601	3-phenylpropane-1,2-diol	JHWQMXKQJVAWKI	OCC(Cc1ccccc1)O	C9H12O2	0.0		
3365428	1,4-diphenylbutane-2,3-dione	XKBQRCUXXCGCMC	O=C(C(=O)Cc1ccccc1)Cc1ccccc1	C16H14O2	0.0		
3367327	5-aminopentane-1,2,3,4-tetrol	RNHXWPCUJTZBAR	NCC(C(C(CO)O)O)O	C5H13NO4	0.0		
3373029	2-ethylbut-2-enedioic acid	SASYHUDIOGGZCN	CCC(=CC(=O)O)C(=O)O	C6H8O4	0.0		
3392193	2-formamidoacetamide	XDASXSONAZHGKJ	O=CNCC(=O)N	C3H6N2O2	0.0		
3394884	4-formamidobenzoic acid	ZBCGPWAZRMLTKF	O=CNc1ccc(cc1)C(=O)O	C8H7NO3	0.0		
3425607	4-amino-N-methylbenzamide	XAGFYNSCWICYPA	CNC(=O)c1ccc(cc1)N	C8H10N2O	0.0		
3471255	2-(prop-2-enoylamino)propanoic acid	PPRBGMXQDAMDAB	CC(C(=O)O)NC(=O)C=C	C6H9NO3	0.0		
3472369	4-amino-5,6-dihydro-1H-pyrimidin-2-one	FPOVCZDHZSAAIX	NC1=NC(=O)NCC1	C4H7N3O	0.0		
3505834	4-acetamidobenzene-1,3-dicarboxylic acid	KFABBSXAHCCRSK	CC(=O)Nc1ccc(cc1C(=O)O)C(=O)O	C10H9NO5	0.0		
3510878	2-hydroxy-4-phenyl-3-butenoic acid	ZGGWKQRHPWUSNY	OC(C(=O)O)C=Cc1ccccc1	C10H10O3	0.0		
3539802	3-acetamidoprop-2-enoic acid	MWVBVDJUFFMLAR	CC(=O)NC=CC(=O)O	C5H7NO3	0.0		
3701278	2-amino-3-(benzoylthio)propanoic acid	OWZIPHGMKGSDNS	NC(C(=O)O)CSC(=O)c1ccccc1	C10H11NO3S	0.0		
3708936	3-(3-aminopropanoylamino)propanoic acid	DWCSTCCKNZMDHA	NCCC(=O)NCCC(=O)O	C6H12N2O3	0.0		
3727005	4-(2-amino-2-carboxyethyl)benzoic acid	YXDGRBPZVQPESQ	NC(C(=O)O)Cc1ccc(cc1)C(=O)O	C10H11NO4	0.0		
3729468	N-hydroxyformamide	KDGKTJGPFXIBEB	ONC=O	CH3NO2	0.0		
3747081	2-amino-3-cyclohexa-2,4-dien-1-yl-propanoic acid	NERHMBQVWZSJPY	OC(=O)C(CC1CC=CC=C1)N	C9H13NO2	0.0		
3750834	phenyl 2-hydroxypropanoate	VJKGUHZEQQUQNR	CC(C(=O)Oc1ccccc1)O	C9H10O3	0.0		
3834227	3-oxopropanamide	OFZFFIDUIUEPIB	O=CCC(=O)N	C3H5NO2	0.0		
3932323	4-propanoyloxybenzoic acid	MNPYETDBTVUTDQ	CCC(=O)Oc1ccc(cc1)C(=O)O	C10H10O4	0.0		
3962203	2-amino-3-oxo-3-phenylpropanoic acid	FFSGLKWXIJLRST	NC(C(=O)c1ccccc1)C(=O)O	C9H9NO3	0.0		
3970278	phenyl 3-phenyloxirane-2-carboxylate	GBQMNXWHCORGMC	O=C(C1OC1c1ccccc1)Oc1ccccc1	C15H12O3	0.0		
3983741	2-hydroxy-3-phenylpropanenitrile	GOOUUOYVIYFDBL	OC(Cc1ccccc1)C#N	C9H9NO	0.0		
4283434	2-acetamidopent-4-enoic acid	QTNLDKHXFVSKCF	CC(=O)NC(C(=O)O)CC=C	C7H11NO3	0.0		
4283577	2-(propanoylamino)propanoic acid	INPGLFHHFHOGRM	CC(C(=O)O)NC(=O)CC	C6H11NO3	0.0		
4289559	1-(4-hydroxyphenyl)propane-1,2-dione	PQRIZEYPOXNMDQ	O=C(c1ccc(cc1)O)C(=O)C	C9H8O3	0.0		
4298238	3,5-dihydroxypentanoic acid	RGPXHQLKXPEHMD	OCCC(CC(=O)O)O	C5H10O4	0.0		
4314530	3-phenyl-2-(prop-2-enoylamino)propanoic acid	XFHQGYBXSCRMNT	C=CC(=O)NC(C(=O)O)Cc1ccccc1	C12H13NO3	0.0		
4407767	2-oxo-3-phenylpropanal	OFMBSIAKTAZWIE	O=CC(=O)Cc1ccccc1	C9H8O2	0.0		
4570648	2,5-diaminohexanedioic acid	KLNKMGPJWOMQTJ	NC(C(=O)O)CCC(C(=O)O)N	C6H12N2O4	0.0		
