;index;GENERATION;EQUATION;SMILES;RULE;RPAIRS;CONSERVEDRATIO
0;0;1;RWXZBJIVTZKYFX<=>OKKJLVBELUTLKV+WOXKDUGGOYFFRN;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1>>CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O.CO;hyp_tadalafil_cyc;pairs;ratio
1;1;1;RWXZBJIVTZKYFX<=>MYOGBDSYJHWUMN+OKKJLVBELUTLKV;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1>>CNCC(=O)N1C2Cc3c(n(c4ccccc34)C2=O)C1c1ccc2c(c1)OCO2.CO;hyp_tadalafil_cyc;pairs;ratio
2;2;1;RWXZBJIVTZKYFX<=>OKKJLVBELUTLKV+VYWAMAUMYOOACW;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1>>CNCC(=O)N1C2Cc3c([nH]c4ccccc34)C1c1ccc3c(c1C2=O)OCO3.CO;hyp_tadalafil_cyc;pairs;ratio
3;3;1;RWXZBJIVTZKYFX<=>OKKJLVBELUTLKV+WLDWEDFNSZFHIV;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1>>CNCC(=O)N1C2Cc3c([nH]c4cccc(c34)C2=O)C1c1ccc2c(c1)OCO2.CO;hyp_tadalafil_cyc;pairs;ratio
4;4;1;RWXZBJIVTZKYFX<=>OKKJLVBELUTLKV+YDQOAMQAVOGDMZ;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1>>CNCC(=O)N1C2Cc3c([nH]c4ccccc34)C1c1cc3c(cc1C2=O)OCO3.CO;hyp_tadalafil_cyc;pairs;ratio
