reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08451/3.5.1A1/;	4/3.5.1A1;	0.124477	0.307692	0.225806	0.166667	0.168831	0.160714	0.126582	0.0985915	0.0824742
R08451/3.5.1A1/;	4/3.5.1A1;	0.122129	0.307692	0.225806	0.166667	0.168831	0.160714	0.126582	0.0934579	0.0787671
R09535/3.5.1A4/3.4.17.23;	4/3.5.1A1;	0.120846	0.307692	0.225806	0.196078	0.204819	0.16129	0.122807	0.087156	0.0622837
R09535/3.5.1A1/3.4.17.23;	4/3.5.1A1;	0.120846	0.307692	0.225806	0.196078	0.204819	0.16129	0.122807	0.087156	0.0622837
R00944/3.5.1A1/3.5.1.10;	4/3.5.1A1;	0.118103	0.307692	0.225806	0.183673	0.17284	0.15	0.136905	0.102564	0.058642
R04318(r)/3.5.1A1/3.5.2.6;	4/3.5.1A1;	0.11745	0.307692	0.290323	0.259259	0.263158	0.177632	0.111111	0.0645161	0.0442478
R04318(r)/3.5.1A1/3.5.2.6;	4/3.5.1A1;	0.11745	0.307692	0.290323	0.259259	0.263158	0.177632	0.111111	0.0645161	0.0442478
R05677/3.5.1A1/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R05677/3.5.1A4/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R05677/3.5.1A4/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R05677/3.5.1A1/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R05677/3.5.1A1/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R05677/3.5.1A4/;	4/3.5.1A1;	0.0971302	0.307692	0.225806	0.163265	0.116883	0.107143	0.0921053	0.071066	0.0610687
R00944(r)/3.5.1A1(rev)/3.5.1.10;	4/3.5.1A1;	0.0906516	0.307692	0.151515	0.115385	0.130952	0.121951	0.110465	0.075	0.0425532
R08300/3.5.1A1/3.1.1.1;	4/3.5.1A1;	0.0875133	0.307692	0.225806	0.18	0.185185	0.105691	0.0670732	0.0502513	0.0342205
R08300/3.5.1A4/3.1.1.1;	4/3.5.1A1;	0.0875133	0.307692	0.225806	0.18	0.185185	0.105691	0.0670732	0.0502513	0.0342205
R08300/3.5.1A4/3.1.1.1;	4/3.5.1A1;	0.0875133	0.307692	0.225806	0.18	0.185185	0.105691	0.0670732	0.0502513	0.0342205
R08300/3.5.1A1/3.1.1.1;	4/3.5.1A1;	0.0875133	0.307692	0.225806	0.18	0.185185	0.105691	0.0670732	0.0502513	0.0342205
R10688/3.5.1A4/3.4.17.21;	4/3.5.1A1;	0.0867347	0.307692	0.225806	0.196078	0.209877	0.152542	0.0751445	0.0366972	0.0141844
R10688/3.5.1A1/3.4.17.21;	4/3.5.1A1;	0.0867347	0.307692	0.225806	0.196078	0.209877	0.152542	0.0751445	0.0366972	0.0141844
R04113/3.5.1A4/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R04113/3.5.1A1/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R04113/3.5.1A1/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R04113/3.5.1A4/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R04113/3.5.1A1/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R04113/3.5.1A4/3.5.1.72;	4/3.5.1A1;	0.0856574	0.307692	0.225806	0.196078	0.185185	0.122951	0.0747126	0.0484581	0.0239726
R01655(r)/3.5.4A2(rev)/3.5.4.9;	4/3.5.1A1;	0.0856354	0.266667	0.243243	0.1875	0.163636	0.123529	0.0843373	0.0595238	0.0331858
R08295/3.5.1A1/3.1.1.1;	4/3.5.1A1;	0.0848749	0.307692	0.225806	0.18	0.189873	0.111111	0.0625	0.0456853	0.027027
R08295/3.5.1A4/3.1.1.1;	4/3.5.1A1;	0.0848749	0.307692	0.225806	0.18	0.189873	0.111111	0.0625	0.0456853	0.027027
R08295/3.5.1A4/3.1.1.1;	4/3.5.1A1;	0.0848749	0.307692	0.225806	0.18	0.189873	0.111111	0.0625	0.0456853	0.027027
R08295/3.5.1A1/3.1.1.1;	4/3.5.1A1;	0.0848749	0.307692	0.225806	0.18	0.189873	0.111111	0.0625	0.0456853	0.027027
R08451(r)/3.5.1A1(rev)/;	4/3.5.1A1;	0.0847629	0.307692	0.151515	0.0980392	0.111111	0.111111	0.0853659	0.0636364	0.0535117
R10687/3.5.1A1/3.4.17.21;	4/3.5.1A1;	0.0845666	0.307692	0.225806	0.196078	0.209877	0.140496	0.0581395	0.035	0.0151515
R10687/3.5.1A4/3.4.17.21;	4/3.5.1A1;	0.0845666	0.307692	0.225806	0.196078	0.209877	0.140496	0.0581395	0.035	0.0151515
R08451(r)/3.5.1A1(rev)/;	4/3.5.1A1;	0.082578	0.307692	0.151515	0.0980392	0.111111	0.111111	0.0853659	0.0588235	0.05
R04113(r)/3.5.1A1(rev)/3.5.1.72;	4/3.5.1A1;	0.0802775	0.307692	0.1875	0.12963	0.129412	0.104839	0.0747126	0.0577778	0.0346021
R04113(r)/3.5.1A1(rev)/3.5.1.72;	4/3.5.1A1;	0.0802775	0.307692	0.1875	0.12963	0.129412	0.104839	0.0747126	0.0577778	0.0346021
R04113(r)/3.5.1A1(rev)/3.5.1.72;	4/3.5.1A1;	0.0802775	0.307692	0.1875	0.12963	0.129412	0.104839	0.0747126	0.0577778	0.0346021
R11561(r)/3.5.1A1(rev)/3.5.1.123;	4/3.5.1A1;	0.0797414	0.307692	0.1875	0.113208	0.097561	0.101695	0.0807453	0.0597015	0.0352941
R11561(r)/3.5.1A1(rev)/3.5.1.123;	4/3.5.1A1;	0.0797414	0.307692	0.1875	0.113208	0.097561	0.101695	0.0807453	0.0597015	0.0352941
R01655/3.5.4A2/3.5.4.9;	4/3.5.1A1;	0.0796703	0.266667	0.210526	0.169231	0.153153	0.116959	0.08	0.0563798	0.0286344
R10617/3.5.1A4/3.5.1.115;	4/3.5.1A1;	0.0790244	0.307692	0.225806	0.196078	0.176471	0.117188	0.0611111	0.0396476	0.020202
R10617/3.5.1A1/3.5.1.115;	4/3.5.1A1;	0.0790244	0.307692	0.225806	0.196078	0.176471	0.117188	0.0611111	0.0396476	0.020202
R11181/3.5.1A1/3.5.2.20;	4/3.5.1A1;	0.0775595	0.307692	0.225806	0.173077	0.139535	0.09375	0.0650888	0.0483092	0.0223881
R11181/3.5.1A1/3.5.2.20;	4/3.5.1A1;	0.0775595	0.307692	0.225806	0.173077	0.139535	0.09375	0.0650888	0.0483092	0.0223881
R11181/3.5.1A4/3.5.2.20;	4/3.5.1A1;	0.0775595	0.307692	0.225806	0.173077	0.139535	0.09375	0.0650888	0.0483092	0.0223881
R11181/3.5.1A4/3.5.2.20;	4/3.5.1A1;	0.0775595	0.307692	0.225806	0.173077	0.139535	0.09375	0.0650888	0.0483092	0.0223881
R09535(r)/3.5.1A1(rev)/3.4.17.23;	4/3.5.1A1;	0.0774443	0.307692	0.1875	0.12963	0.136364	0.0992366	0.0607735	0.0486726	0.040678
R09535(r)/3.5.1A1(rev)/3.4.17.23;	4/3.5.1A1;	0.0774443	0.307692	0.1875	0.12963	0.136364	0.0992366	0.0607735	0.0486726	0.040678
R11190/3.5.1A4/3.4.14.13;	4/3.5.1A1;	0.0749736	0.307692	0.225806	0.18	0.164557	0.112069	0.0736196	0.0235849	0.0148148
R11190/3.5.1A1/3.4.14.13;	4/3.5.1A1;	0.0749736	0.307692	0.225806	0.18	0.164557	0.112069	0.0736196	0.0235849	0.0148148
R10891/3.5.1A4/;	4/3.5.1A1;	0.0747368	0.307692	0.225806	0.196078	0.180723	0.0948276	0.068323	0.0283019	0.0111111
R10891/3.5.1A1/;	4/3.5.1A1;	0.0747368	0.307692	0.225806	0.196078	0.180723	0.0948276	0.068323	0.0283019	0.0111111
R00463/3.5.1A1/3.5.2.11;	4/3.5.1A1;	0.0744444	0.307692	0.225806	0.18	0.151899	0.0782609	0.0584416	0.0408163	0.0200803
R00463/3.5.1A4/3.5.2.11;	4/3.5.1A1;	0.0744444	0.307692	0.225806	0.18	0.151899	0.0782609	0.0584416	0.0408163	0.0200803
R11181/3.5.1A4/3.5.2.20;	4/3.5.1A1;	0.0731205	0.307692	0.225806	0.173077	0.126437	0.0852713	0.0588235	0.0483092	0.0185874
R11181/3.5.1A1/3.5.2.20;	4/3.5.1A1;	0.0731205	0.307692	0.225806	0.173077	0.126437	0.0852713	0.0588235	0.0483092	0.0185874
R11181/3.5.1A4/3.5.2.20;	4/3.5.1A1;	0.0731205	0.307692	0.225806	0.173077	0.126437	0.0852713	0.0588235	0.0483092	0.0185874
R11181/3.5.1A1/3.5.2.20;	4/3.5.1A1;	0.0731205	0.307692	0.225806	0.173077	0.126437	0.0852713	0.0588235	0.0483092	0.0185874
R09779/3.5.1A4/;	4/3.5.1A1;	0.0728051	0.307692	0.225806	0.18	0.164557	0.112069	0.0670732	0.0191388	0.011583
R09779/3.5.1A1/;	4/3.5.1A1;	0.0728051	0.307692	0.225806	0.18	0.164557	0.112069	0.0670732	0.0191388	0.011583
R02734/3.5.1A1/3.5.1.18;	4/3.5.1A1;	0.072747	0.307692	0.225806	0.18	0.164557	0.0932203	0.05625	0.0252525	0.019305
R02734/3.5.1A4/3.5.1.18;	4/3.5.1A1;	0.072747	0.307692	0.225806	0.18	0.164557	0.0932203	0.05625	0.0252525	0.019305
R01425(r)/3.5.1A1(rev)/3.5.1.40;	4/3.5.1A1;	0.0724175	0.307692	0.1875	0.113208	0.0941176	0.0833333	0.0625	0.0547264	0.0343511
R01425(r)/3.5.1A1(rev)/3.5.1.40;	4/3.5.1A1;	0.0724175	0.307692	0.1875	0.113208	0.0941176	0.0833333	0.0625	0.0547264	0.0343511
R04611/3.5.1A4/3.4.17.8;	4/3.5.1A1;	0.0715812	0.307692	0.225806	0.196078	0.175	0.104348	0.0493827	0.0245098	0.011236
