2024-06-14 12:18:45,684 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,707 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,734 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,754 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,789 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,818 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:45,860 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:45,881 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:45,916 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:45,946 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:45,970 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:45,992 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,016 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,048 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,078 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,107 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,128 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,152 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,175 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,187 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,208 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,243 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:46,264 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,287 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,328 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,387 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.06 sec
2024-06-14 12:18:46,420 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,451 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,474 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,505 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,541 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,580 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:46,601 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,630 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,664 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,685 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,717 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,740 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,761 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,774 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:46,816 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:46,882 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.07 sec
2024-06-14 12:18:46,908 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:46,945 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:46,988 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,007 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,048 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,059 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,087 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,106 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,140 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,187 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.05 sec
2024-06-14 12:18:47,211 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,239 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,282 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,306 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,329 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,343 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,366 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,388 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,430 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,462 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,498 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,523 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,589 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.06 sec
2024-06-14 12:18:47,628 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:47,653 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,677 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,707 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,729 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,753 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:47,768 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,799 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,823 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,855 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,887 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,917 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:47,947 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:47,980 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,010 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,051 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,077 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,117 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,147 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
