,LCSBID
4mpetz_c,1467902246
4pasp_c,1467893595
4per_c,1467895763
4ppan_c,1467896394
4ppcys_c,1467902426
4r5au_c,1467905207
56dura_c,1467870857
5aizc_c,1467905379
5aop_c,1467870875
5aprbu_c,1467903089
5apru_c,1467879298
5caiz_c,1468003499
5dglcn_c,1467877328
5dglcn_e,1467877328
5dglcn_p,1467877328
5dh4dglc_c,1467873466
5drib_c,1468220225
5fthf_c,1467896342
5mta_c,1467867842
5mthf_c,1467870978
5mtr_c,1467893655
5mtr_e,1467893655
5mtr_p,1467893655
5prdmbz_c,1467905525
6hmhpt_c,1467879603
6hmhptpp_c,1467905739
6pgc_c,1467869909
6pgl_c,1467879032
8aonn_c,1467877590
ACP_c,2786427718
LalaDgluMdapDala_c,
LalaDgluMdapDala_e,
LalaDgluMdapDala_p,
LalaDgluMdap_c,
LalaDgluMdap_e,
LalaDgluMdap_p,
LalaDglu_c,
LalaDglu_e,
LalaDglu_p,
LalaLglu_c,1468049150
LalaLglu_e,1468049150
LalaLglu_p,1468049150
N1aspmd_c,1467872821
Nmtrp_c,1467892764
Sfglutth_c,1467877039
aacald_c,1467920780
aacoa_c,1467869780
aact_c,2786390292
acACP_c,
ac_c,1467865967
ac_e,1467865967
ac_p,1467865967
acac_c,1467867754
acac_e,1467867754
acac_p,1467867754
acald_c,2786402809
acald_e,2786402809
acald_p,2786402809
acanth_c,1467916771
accoa_c,1467865841
acetol_c,1467907896
acg5p_c,1467900875
acg5sa_c,1467879139
acgal1p_e,1467901708
acgal1p_p,1467901708
acgal_e,1467867422
acgal_p,1467867422
acgam1p_c,1467901708
acgam1p_e,1467901708
acgam1p_p,1467901708
acgam6p_c,1467870068
acgam_c,1467867422
acgam_e,1467867422
acgam_p,1467867422
acglc__D_c,1467890370
acglu_c,1467872933
acmalt_c,1467886446
acmana_c,1467867422
acmana_e,1467867422
acmana_p,1467867422
acmanap_c,1467870068
acmum6p_c,1468012864
acmum_e,1467890798
acmum_p,1467890798
acnam_c,1467869128
acnam_e,1467869128
acnam_p,1467869128
acolipa_e,2604447538
acolipa_p,2604447538
acon_C_c,1467870747
acon_T_c,1467870747
aconm_c,
acorn_c,1467870941
acser_c,2786403344
acser_e,2786403344
acser_p,2786403344
actACP_c,
actp_c,1467868563
ade_c,1467867515
ade_e,1467867515
ade_p,1467867515
adn_c,1467868376
adn_e,1467868376
adn_p,1467868376
adocbi_c,525056644
adocbip_c,525056655
adocbl_c,137886816
adocbl_e,137886816
adocbl_p,137886816
adp_c,1467865623
adpglc_c,1467871604
adphep_DD_c,1467917417
adphep_LD_c,1467917417
adprib_c,1467869403
ag_c,1467920544
ag_e,1467920544
agdpcbi_c,525056633
agm_c,1467867931
agm_e,1467867931
agm_p,1467867931
ahcys_c,1467865798
ahdt_c,1467906370
aicar_c,1467904765
air_c,1467895667
akg_c,1467865872
akg_e,1467865872
akg_p,1467865872
ala_B_c,1467866856
ala_B_e,1467866856
ala_B_p,1467866856
ala__D_c,1467866080
ala__D_e,1467866080
ala__D_p,1467866080
ala__L_c,1467866080
ala__L_e,1467866080
ala__L_p,1467866080
alaala_c,2786369075
alaala_e,2786369075
alaala_p,2786369075
alac__S_c,1467875820
alatrna_c,
all6p_c,1467894903
all__D_c,1467865936
all__D_e,1467865936
all__D_p,1467865936
alltn_c,2594260965
alltn_e,2594260965
alltn_p,2594260965
alltt_c,1467871616
allul6p_c,1467866662
alpp_p,
altrn_c,1467868971
amet_c,1467865767
ametam_c,1467878037
amob_c,1467902875
amp_c,1467865783
amp_e,1467865783
amp_p,1467865783
anhgm3p_c,1469356458
anhgm3p_p,1469356458
anhgm4p_c,
anhgm4p_p,
anhgm_c,
anhgm_e,
anhgm_p,
anhm3p_c,1469375983
anhm4p_c,
anhm_c,
anth_c,1467866980
ap4a_c,1467879210
ap5a_c,1467900317
apg120_c,1469358987
apg140_c,1469413333
apg141_c,
apg160_c,1469390350
apg161_c,
apg180_c,1469322863
apg181_c,
apoACP_c,
appl_c,1467894387
aps_c,1467868530
ara5p_c,1467877803
arab__L_c,1467867962
arab__L_e,1467867962
arab__L_p,1467867962
aragund_c,1469357532
arbt6p_c,1467915760
arbt_e,1467915745
arbt_p,1467915745
arbtn_c,1467910366
arbtn_e,1467910366
arbtn_fe3_c,1467910366
arbtn_fe3_e,1467910366
arbtn_fe3_p,1467910366
arbtn_p,1467910366
arg__L_c,1467866345
arg__L_e,1467866345
arg__L_p,1467866345
argsuc_c,1467895842
argtrna_c,
ascb6p_c,1468007959
ascb__L_e,1467866475
ascb__L_p,1467866475
asn__L_c,1467867581
asn__L_e,1467867581
asn__L_p,1467867581
asntrna_c,
aso3_c,1467920487
aso3_e,1467920487
aso3_p,1467920487
aso4_c,1467968127
asp__L_c,1467866192
asp__L_e,1467866192
asp__L_p,1467866192
aspsa_c,1467870991
asptrna_c,
athr__L_c,1467868061
athtp_c,1468270430
atp_c,1467865531
b2coa_c,1467875551
bbtcoa_c,1468047614
betald_c,1467872480
bglycogen_c,
bmoco1gdp_c,
bmoco_c,1469433799
bmocogdp_c,
btal_c,1467880354
btcoa_c,1467867373
btn_c,1467867147
btn_e,1467867147
btn_p,1467867147
btnso_c,1468045041
but2eACP_c,
butACP_c,
but_c,
but_e,
but_p,
butso3_c,1468219600
butso3_e,1468219600
butso3_p,1468219600
bwco1gdp_c,
bwco_c,
bwcogdp_c,
ca2_c,1467866535
ca2_e,1467866535
ca2_p,1467866535
camp_c,1467872465
cbasp_c,1467870954
cbi_c,1468083438
cbi_e,1468083438
cbi_p,1468083438
cbl1_c,54240825
cbl1_e,54240825
cbl1_p,54240825
cbm_c,1467881564
cbp_c,1467867829
cd2_c,1467880366
cd2_e,1467880366
cd2_p,1467880366
cddec5eACP_c,
cdec3eACP_c,
cdg_c,1468043994
cdp_c,1467867043
cdpdddecg_c,1467986501
cdpdhdec9eg_c,1468368106
cdpdhdecg_c,
cdpdodec11eg_c,1469318568
cdpdodecg_c,1469318654
cdpdtdec7eg_c,1468368099
cdpdtdecg_c,1469318314
cechddd_c,1467971733
cenchddd_c,1467981298
cgly_c,1467880428
cgly_e,1467880428
cgly_p,1467880428
chol_c,1467867073
chol_e,1467867073
chol_p,1467867073
chor_c,1467868880
chtbs6p_c,1468050621
chtbs_e,1467882468
chtbs_p,1467882468
cinnm_c,1467870801
cit_c,1467867671
cit_e,1467867671
cit_p,1467867671
citr__L_c,1467869709
ckdo_c,1467900803
cl_c,1467879788
cl_e,1467879788
cl_p,1467879788
clpn120_p,
clpn140_p,1469361634
clpn141_p,
clpn160_p,1469361802
clpn161_p,1469361697
clpn180_p,
clpn181_p,1469361674
cm_e,1467875974
cm_p,1467875974
cmp_c,2786383960
cmp_e,2786383960
cmp_p,2786383960
co2_c,1467865667
co2_e,1467865667
co2_p,1467865667
coa_c,1467865652
cobalt2_c,1467867880
cobalt2_e,1467867880
cobalt2_p,1467867880
colipa_c,
colipa_e,
colipa_p,
colipap_e,
colipap_p,
cpe160_c,1469303292
cpe180_c,
cpg160_c,1469312282
cpg180_c,1469356116
cpgn_c,1468326498
cpgn_e,1468326498
cpgn_p,1468326498
cpgn_un_c,
cpgn_un_e,
cpgn_un_p,
cph4_c,1468043918
cpmp_c,1468026483
cpppg3_c,1467894939
crnDcoa_c,1468047622
crn__D_c,1467871455
crn__D_e,1467871455
crn__D_p,1467871455
crn_c,1467871455
crn_e,1467871455
crn_p,1467871455
crncoa_c,1468047622
csn_c,1467870314
csn_e,1467870314
csn_p,1467870314
ctbt_c,1467900752
ctbt_p,1467900752
ctbtcoa_c,1468047606
ctp_c,1467866360
cu2_c,1467866454
cu2_e,1467866454
cu2_p,1467866454
cu_c,1468093882
cu_e,1468093882
cu_p,1468093882
cyan_c,1467879774
cyan_e,1467879774
cyan_p,1467879774
cynt_c,1467880404
cynt_e,1467880404
cynt_p,1467880404
cys__D_c,1467866836
cys__D_e,1467866836
cys__D_p,1467866836
